"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_e_b ', 'Regiao onde mora')","('P1_h ', 'Nivel de Ensino')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_q ', 'Atualmente qual a sua forma de trabalho?')","('P2_r ', 'Qual a forma de trabalho ideal para você?')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_a ', 'Remuneração/Salário')","('P2_o_b ', 'Benefícios')","('P2_o_c ', 'Propósito do trabalho e da empresa')","('P2_o_d ', 'Flexibilidade de trabalho remoto')","('P2_o_e ', 'Ambiente e clima de trabalho')","('P2_o_f ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_g ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_h ', 'Maturidade da empresa em termos de tecnologia e dados')"
qkx4q0ei90wcjxnqkx4q0j3xgf0zn13s,38.0,Masculino,Nordeste,Pós-graduação,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),Benefícios,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zdl2n19yhgpnoaco6kkczdl2nwv9zwrt,39.0,Masculino,Nordeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),Flexibilidade de trabalho remoto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vsamqp2un3q7us84mgvsams5fulsmcoh,30.0,Masculino,Sul,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto,Empregado (CLT),Oportunidade de aprendizado e trabalhar com referências na área,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v31ab41botodnsv31zgg4k34zzojy81l,38.0,Feminino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empreendedor ou Empregado (CNPJ),"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ubhu8ntvm4xc0sfkdubhu80e973eek0k,36.0,Masculino,Sul,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa, Remuneração/Salário",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
rcxg4kxm9ow0u54hrcxgxkzcd50ib9dk,24.0,Masculino,Sul,Estudante de Graduação,,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95glgjuiaf07xh95g4qt3ufh62qh0bos,51.0,Masculino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Reputação que a empresa tem no mercado, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
nc3chpdm6n3rtgib20inc3chp9psycoz,39.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% presencial,Empregado (CLT),"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kw6mzziiifjl1q7nikw628l4at14q8jr,27.0,Masculino,Sudeste,Pós-graduação,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ifl4ogkur82u2e77cv9ifl4og3xaut1y,42.0,Masculino,Sudeste,Mestrado,,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Reputação que a empresa tem no mercado",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
